Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Brand,PriceinAUS,Subtitle Metric,Acceleration Metric,Range Metric,TopSpeed Metric,Efficiency Metric,FastChargeSpeed Metric,PriceinAUS Metric
Peugeot e-Traveller Standard 75 kWh,68.0,13.3,130.0,270.0,252.0,290.0,Front Wheel Drive,7,57440.0,,Peugeot,,2,3,2,1,1,2,
Peugeot e-Traveller Long 75 kWh,68.0,13.3,130.0,270.0,252.0,290.0,Front Wheel Drive,7,58230.0,,Peugeot,,2,3,2,1,1,2,
Seres 3 ,52.0,8.9,155.0,270.0,193.0,390.0,Front Wheel Drive,5,,,Seres,,1,4,2,1,3,2,
Hyundai IONIQ 5 Project 45,72.6,5.2,185.0,370.0,196.0,860.0,All Wheel Drive,5,59550.0,48000.0,Hyundai,89760.0,2,5,2,2,3,4,5
Porsche Taycan ,71.0,5.4,230.0,395.0,180.0,790.0,Rear Wheel Drive,4,83520.0,70690.0,Porsche,132190.30000000002,2,5,2,2,3,3,4
Porsche Taycan Plus,83.7,5.4,230.0,460.0,182.0,960.0,Rear Wheel Drive,4,89244.0,74739.0,Porsche,139761.93000000002,2,5,3,2,3,4,4
Tesla Model S Long Range,90.0,3.2,250.0,555.0,162.0,830.0,All Wheel Drive,5,86990.0,83980.0,Tesla,157042.6,2,5,3,3,4,3,4
Tesla Model S Plaid,90.0,2.1,322.0,535.0,168.0,800.0,All Wheel Drive,5,126990.0,118980.0,Tesla,222492.6,2,5,3,4,4,3,3
Tesla Model X Long Range,90.0,3.9,250.0,475.0,189.0,710.0,All Wheel Drive,7,95990.0,90980.0,Tesla,170132.6,2,5,3,3,3,3,3
Tesla Model X Plaid,90.0,2.6,262.0,455.0,198.0,680.0,All Wheel Drive,7,116990.0,110980.0,Tesla,207532.6,2,5,3,3,3,3,3
Mini Cooper SE ,28.9,7.3,150.0,185.0,156.0,260.0,Front Wheel Drive,4,32500.0,26000.0,Mini,48620.0,1,4,1,1,4,1,5
JAC iEV7s ,39.0,12.0,132.0,225.0,173.0,160.0,Front Wheel Drive,5,,,JAC,,1,3,1,1,4,1,
